ID	Tweet	anger	anticipation	disgust	fear	joy	love	optimism	pessimism	sadness	surprise	trust
2018-Es-01643	@aliciaenp Ajajjaa somos del clan twitteras perdidas pa eventos "importantes" 	0	0	0	0	1	0	0	0	0	0	0
2018-Es-05142	@AwadaNai la mala suerte del gato fichame la cara de help me pls	0	0	0	1	0	0	0	1	0	0	0
2018-Es-05379	@audiomano A mí tampoco me agrado mucho eso. Especialmente por tratarse de él. No hay justificación.	1	0	0	0	0	0	0	0	0	0	0
2018-Es-00208	Para llevar a los bebes de un lugar a otro debemos cantarles canciones...  Quiero cantarles Gunaa' nibiina (La llorona, en Zapoteco)	0	0	0	0	1	0	0	0	0	0	0
2018-Es-01385	@DalasReview me encanta la terrible hipocresia y doble moral que tiene esta gente, claro, cuando ella te lo quita ILEGALMENTE no importa...	1	0	1	0	0	0	0	0	0	0	0
2018-Es-00089	En Venezuela, el tráfico aéreo esta tan peligroso como el terrestre? Ya cayó otra avioneta.	0	1	0	1	0	0	0	1	0	0	0
2018-Es-05189	me voy a morir sin saber por qué @. y @.. y @... me dieron block y los espantaré cada noche hasta que se arrepientan	0	0	0	1	0	0	0	0	1	0	0
2018-Es-02108	@tctelevision @calle7tc Terrible  esto!	1	0	1	0	0	0	0	0	1	0	0
2018-Es-00795	Para tristeza y felicidad, Ed Sheeran al rescate.🙃	0	0	0	0	1	0	0	0	1	0	0
2018-Es-02243	Con razon mi vieja se fue rapido a Santa Fe sin invitarme, no queria que me tatue denuevo 	0	0	0	0	0	0	0	1	0	0	0
2018-Es-03082	Lo lindo de sentir cerca a esa gente con la que compartiste tanto, eso es amistad! 😍 Soy una afortunada de tener a la gente que me rodea! ❤	0	0	0	0	1	1	0	0	0	0	0
2018-Es-04296	Qué perra rabia cuando tienes sueño pero no puedes dormir, no lo entiendo.	1	0	0	0	0	0	0	0	0	0	0
2018-Es-06944	Le dije por su nombre y cerró la cuenta 😆	1	0	0	0	1	0	0	0	1	0	0
2018-Es-03502	@LastiriAriel una pintura para mañana creo q tuve q haberme preocupado un poquito antes🤦🏻	0	0	0	0	0	0	0	1	0	0	0
2018-Es-06713	@NANCYPAZOS manipularon los resultados de las Pazos... ahora una mesa pro militar...	1	0	1	0	0	0	0	0	0	0	0
2018-Es-04753	@wichouya Que diosito te escuche jaja 	0	0	0	0	1	0	1	0	0	0	0
2018-Es-02247	Que bien se siente pelear de nuevo, aunque esté bien tronco 	1	0	0	0	1	0	0	0	0	0	0
2018-Es-04968	@DebRyanShow #Rayito Falsa alarma 🚨 sigo sacando ideas de mi cabeza 😉	0	0	0	0	1	0	1	0	0	0	0
2018-Es-04737	El David no me quiere jugar más a la play jajajajaja 6 le metí 	0	0	0	0	1	0	0	0	0	0	0
2018-Es-05998	@fiooresilva Fuera de joda si vi a tu hermana, vos sos la unica amargada que no sale nunca!!	1	0	1	0	0	0	0	0	1	0	0
2018-Es-03706	"-te ves como de 25 -sí, ya se  -¿qué te dieron de chiquita para verte tan grande?"  Wey, ya se que tengo cuerpo de treintona y soy amargada	0	0	1	0	0	0	0	1	0	0	0
2018-Es-01619	@RocioBattagini Tremendo capitulo jajajaj	0	0	0	0	1	0	0	0	0	0	0
2018-Es-02650	@a_tupper Un gran deportista, maldita depresión también se llevó a mi hermana menor.	1	0	0	0	0	0	0	0	1	0	0
2018-Es-04549	Mi enojo dura 5 minutos y después ya te extraño.	1	0	0	0	0	1	0	0	1	0	0
