ID	Tweet	Affect Dimension	Intensity Class
2018-Es-06277	Huele a manteca quemada... a no ya se enojo lacerda🤣🤣🤣🐽🐷	anger	2: se infiere un grado moderado de enojo
2018-Es-06294	me siento mal x haberme peleado con mi prima ahre @astrobabygirl te amo pedazo de down enorme	anger	0: no se infieren niveles de enojo
2018-Es-00230	@trafficMcbo @alecita2611 Peor q nunca... 	anger	2: se infiere un grado moderado de enojo
2018-Es-03780	tengo comezón en la garganta que desesperación	anger	1: se infiere un bajo grado de enojo
2018-Es-03831	@quimicefa *Apunta furiosamente*	anger	1: se infiere un bajo grado de enojo
2018-Es-05783	No hay nada mejor, que se salga de su fiesta, e ir hasta tú casa, sólo para calmar tú enojo😍😍	anger	0: no se infieren niveles de enojo
2018-Es-04549	Mi enojo dura 5 minutos y después ya te extraño.	anger	0: no se infieren niveles de enojo
2018-Es-05835	@sofivp29 Que horror 😐🙊	anger	1: se infiere un bajo grado de enojo
2018-Es-02086	@OverDoradoC grande preocupación para docentes de entes territoriales como Bogotá y Barranquilla quienes están sujetos a la CNSC y 915	anger	1: se infiere un bajo grado de enojo
2018-Es-03794	Y apuntan y disparan y diana. Y un camino que fue llano es ahora sangre, ira, incendio en el vientre, lluvia en la mirada, obstáculos.	anger	1: se infiere un bajo grado de enojo
2018-Es-05185	Indignación en España por declaraciones que comparan a aztecas con nazis 10:19 am	anger	1: se infiere un bajo grado de enojo
2018-Es-01704	@Lucas_Castel me vas a hacer llorar lucas	anger	0: no se infieren niveles de enojo
2018-Es-03657	¡Sólo no me ignores! —otro pisotón. Ya está con el berrinche—.	anger	1: se infiere un bajo grado de enojo
2018-Es-01660	Iría a molestar a mi amiga Laura porque estoy tan aburrida. Pero esta re frío.	anger	0: no se infieren niveles de enojo
2018-Es-05081	Por que me arrepiento 	anger	0: no se infieren niveles de enojo
2018-Es-03916	Soy muy impulsiva, en el momento que me enojo digo cosas que después me termino arrepintiendo	anger	1: se infiere un bajo grado de enojo
2018-Es-05164	Cada que veo Gg me dan ganas de ser rica 	anger	0: no se infieren niveles de enojo
2018-Es-06788	Cuando escucho a Naranjito la ira se apodera de mí. Al final tendré que ignorarlo completamente. Mi salud es lo primero.	anger	3: se infiere un grado alto de enojo
2018-Es-05395	Me invitan a tomar una birra y vuelvo borracha a mi casa.  Así  no  se  puede En tres horas me levanto 	anger	0: no se infieren niveles de enojo
2018-Es-06018	Ojala nunca se den cuenta 😫 	anger	0: no se infieren niveles de enojo
2018-Es-00171	Sabias que cuando estás enfadado con alguien, esa persona ocupa el 80 % de tus pensamientos.	anger	0: no se infieren niveles de enojo
2018-Es-02451	@Julio_Camejo @multimediostv @LisVega Sr. Julio camejo ke no le influya chavana se ve ke los kiere intimidar.	anger	2: se infiere un grado moderado de enojo
2018-Es-04687	@DebRyanShow #Rayito esperar ansioso	anger	0: no se infieren niveles de enojo
2018-Es-06075	Quejarse de los spinners es igual de pendejo que usarlos.	anger	2: se infiere un grado moderado de enojo
2018-Es-00715	Seguro se le apago el celular 	anger	0: no se infieren niveles de enojo
2018-Es-03406	Y toda la NFC norte perdió hoy 🙁 #NFL	anger	1: se infiere un bajo grado de enojo
2018-Es-00950	🎵No me folles con tus barbas🎵 que las tienes pringadicaaaaas 🎵y si lo haces, por venganza🎵 yo te pego mis ladillaaaaas🎵🎵 #SilvesJotero	anger	0: no se infieren niveles de enojo
2018-Es-00999	Los dos queremos pero nos mata la cobardía !!!	anger	0: no se infieren niveles de enojo
2018-Es-06269	@vvaleeryy Amargo tu tweet mejor ni lo publico	anger	1: se infiere un bajo grado de enojo
2018-Es-06842	@itzelsandino Amargo total.	anger	2: se infiere un grado moderado de enojo
2018-Es-03510	¿Que se siente ser orgasmo y verla siempre, y que no pueda esconderse? 📚	anger	0: no se infieren niveles de enojo
2018-Es-02955	Porque demoran en Venirme a buscar?😠😠😅	anger	1: se infiere un bajo grado de enojo
2018-Es-05365	se enojo(?)	anger	1: se infiere un bajo grado de enojo
2018-Es-01558	Seremos Hnas , Pero Ya No Te Aguanto  	anger	3: se infiere un grado alto de enojo
2018-Es-05874	Como se dice "el tren atropello al perro" en frances? Le chu chx mato le gua gua...	anger	0: no se infieren niveles de enojo
2018-Es-02230	Dizque a poner la alarma en el calendario xd	anger	0: no se infieren niveles de enojo
2018-Es-06109	Golpeas pataleas y haces berrinche porque no quiero ser tu novio 😝#JustFriends	anger	0: no se infieren niveles de enojo
2018-Es-03379	@marcoporchile @sebastianpinera El viejo truco de mentir, mentir...millones? El primo es dueño? Tan desesperado Marquitos ??	anger	0: no se infieren niveles de enojo
2018-Es-03325	@vaymosxpartes Insultos, denunciar la corrupción es insultar?	anger	1: se infiere un bajo grado de enojo
2018-Es-01200	SOS PILATOS !!!!: me siento furiosa	anger	3: se infiere un grado alto de enojo
2018-Es-04615	@jordievole @jatirado @ManuelBartual Tranquilo! En Valencia hemos visto que la imprenta de @compromis  no tiene #Porno y tiene 	anger	0: no se infieren niveles de enojo
2018-Es-02573	Por qué soy tan minitahhhhh 	anger	0: no se infieren niveles de enojo
2018-Es-00227	Esta alarma está establecida para dentro de 4 hs y 12 min, estoy llorando	anger	1: se infiere un bajo grado de enojo
2018-Es-02722	Dime si es verdad, me dijeron que estás cansado #SebastianVillalobos #PDCs #KCAMexico	anger	0: no se infieren niveles de enojo
2018-Es-03151	-provocar. Tengo que comentar algo al respecto???	anger	2: se infiere un grado moderado de enojo
2018-Es-01874	¿Cómo que Facebook es para la gente feliz? acaso el Twitter es para gente resentida, conflictiva, renegada y antisocial como yo.	anger	1: se infiere un bajo grado de enojo
2018-Es-00106	@ElSabuesoAP @DeniseDresserG @senadomexicano Lo que toenen apretado, es el cuello de los Mexicanos👹👎	anger	2: se infiere un grado moderado de enojo
2018-Es-05127	@blavkdog @cherflIoyd Pues nel, nomas nos vienes a insultar mejor dinos cosas bonitas.	anger	1: se infiere un bajo grado de enojo
2018-Es-01793	@Irene_Montero_ Es el dinero de todas y debe responder. Que indignación y q impotencia.	anger	3: se infiere un grado alto de enojo
2018-Es-00632	#TotalmenteDivaMega grrrr la mitad del capitulo dio aller 😤😤😤😤😤	anger	1: se infiere un bajo grado de enojo
2018-Es-06221	"pegarle a una nena es de cobarde" mi primo de 7 años♥️	anger	0: no se infieren niveles de enojo
2018-Es-03714	Por cada mifuto de enfado perdamos sesenta segundos de felicidad.	anger	0: no se infieren niveles de enojo
2018-Es-04708	Asumo mis consecuencia y admito mis errores, esos que excusé, por nerviosismo, por temores.	anger	0: no se infieren niveles de enojo
2018-Es-02023	@lidia04j @pccomponentes vas a ir enfadada?	anger	1: se infiere un bajo grado de enojo
2018-Es-03349	@camilaxwitness Eres una gobernada indignada entonces 🤷🏻‍♀️	anger	3: se infiere un grado alto de enojo
2018-Es-01043	@Sofiaaaeiou_ ¿Cuál es la pelea? Jajajajajaja la chismosa.	anger	0: no se infieren niveles de enojo
