ID	Tweet	Affect Dimension	Intensity Score
2018-Es-06796	La vida ya de por sí es peligrosa, no por las personas que hacen mal, sino por las que se sientan a ver cómo pasa.	fear	0.750
2018-Es-06846	@ShunOfLove -Cuánta confianza y alegría, sobretodo su 0 temor a el... Pero bueno. Sonrisa leve- ¡Gracias, chica!~	fear	0.375
2018-Es-00605	26 mmm sospechoso jajaja la mejor con vos 😘😘	fear	0.250
2018-Es-04552	#Temblor 4.5 de magnitud. Desde Caracas, un piso 11. 	fear	0.667
2018-Es-01176	Después de todo aún me pones nerviosa... Te extraño	fear	0.500
2018-Es-02642	Este año salen tantas pelis de terror quiero ir a verlas con alguien saben!😊	fear	0.458
2018-Es-00134	"Practiquen el derecho y la justicia. Libren al oprimido del poder del opresor." - Jeremias 22:3	fear	0.179
2018-Es-01098	@witch_scm Con la dos primeras ya eres especie peligro de extinción	fear	0.563
2018-Es-02379	"No me va a temblar el dedo" -antonella bernal	fear	0.370
2018-Es-05187	Tengo miedo de hacer matrícula	fear	0.917
2018-Es-03001	Olvidé de del tal cabeza e mango, otro peine del gobierno...nuestra preocupación y objetivo es el gran evento nacional del #16deJulio	fear	0.543
2018-Es-06873	Le daria un like al que dibujara a mi oc con vestido (esto no lo vera nadie mas que nicole, aunque me debería asustar un poco...)	fear	0.583
2018-Es-05676	titi iba a poner la alarma en la calculadora JAJAJAJJA	fear	0.051
2018-Es-05840	Me puse a llorar de mal y después paraba enojada y decia soy fuerte. Que onda Es como si el diablo me quiere mal y Dios me dice no caigas❤	fear	0.479
2018-Es-02672	Mañana tengo que actuar lpm toy nervioso, vah es verguenza? Jajaja de travesti lpm 😂😂	fear	0.479
2018-Es-01022	Paula está indignada y yo que no tengo ni para indignarme	fear	0.438
2018-Es-03967	—Le está dando mucha pena Kelly porque intuye que no lo entiende— Cosas que los niños no hacen todavía, pequeñaja. Ellos dos son mayorcitos.	fear	0.457
2018-Es-04373	@losmartines Vamoooos #PeñA!!! El coach está demostrando que es gigante!!!#Leo	fear	0.217
2018-Es-03287	@albanagrigo Jajajajajajajajajajajaja fue lo mas y mas cuando perdió el arito jajjaajja	fear	0.130
2018-Es-02164	Cómo me enferrrrman estás cosassss 	fear	0.688
2018-Es-06008	Quiero que mi hermana mire el internado y no quiere, es una soreta.. 😭	fear	0.479
2018-Es-00358	Que bajón me dio ver eso 😭	fear	0.813
2018-Es-01511	@rodaned contestaste con un insulto, por eso te pregunto si estas nervioso	fear	0.375
2018-Es-00380	@germxnthief < espalda del rubio, la cuál probablemente estaría marcada, pero ni con eso logró sofocarlo pues un gruñido salió de sus >	fear	0.500
2018-Es-01314	es que archie colega sólo tienes músculos y judhead mira en serio ojalá te hubieran matado a ti y no a jason	fear	0.500
2018-Es-04038	Pesa mas la #rabia q el #cemento	fear	0.375
2018-Es-05490	@ObservadBinario Es preferible salir por Cúcuta. Por Maicao es demasiado peligroso	fear	0.957
2018-Es-00706	vivo cansada como que el cansancio ya es parte de mi, me acostumbre	fear	0.479
2018-Es-00730	Menos amor  y mas Aleteo 🎼🎼🎼🎼🎻🎻🎻	fear	0.146
2018-Es-03931	"Es que mi nivel de madurez es superior al de los demás"  - Una amargada.	fear	0.354
2018-Es-02617	A dormir, 1 fav = 1 pesadilla	fear	0.542
2018-Es-05682	Una feminista quemó una revista Playboy. Hugh Hefner debe estar super preocupado en su mansión.	fear	0.226
2018-Es-05008	@lareina_alerta @MuniLaReina actividad sospechosa, vecinos y yo llamamos al 1419, quedaron de mandar un móvil y no llegó.	fear	0.604
2018-Es-00556	Debora P Volpin, 50 años, acaba de darse cuenta de la pobreza /conventillos, a pesar de que era conductora, NO PERIODISTA. En A fuego lento	fear	0.396
2018-Es-04223	@Sergio_616 Btw si es por BSO me quedo con la de Wonder Woman la verdad, toda una sorpresa.	fear	0.271
2018-Es-05892	Me asusté mirando "la momia" y nisiquiera era de terror.. a mí nomas me pasa esto jaajaj	fear	0.750
2018-Es-06104	Hace 2 días quiero ver a mi novia y no puedo,tengo una amargura una cara de orto.. ahhh pero 2 birras más y le sonrió Hasta al matambre jaja	fear	0.479
2018-Es-00716	La puta madre que susto me pegué jajajajaja	fear	0.854
2018-Es-06533	Me siento como en Navidad cuando esperaba los regalos re ansioso	fear	0.458
2018-Es-00159	Que matón vale jaja.	fear	0.188
2018-Es-03827	Es peligroso acostumbrarse a alguien.	fear	0.646
2018-Es-02593	Anoche me enamore de un pibe por sus ojos, pero lo vi una sola ves estoy llorando VUELVE QUE SIN TI LA VIDA SE ME VAAAAAA OOOO VUELVEEE	fear	0.333
2018-Es-05395	Me invitan a tomar una birra y vuelvo borracha a mi casa.  Así  no  se  puede En tres horas me levanto 	fear	0.396
2018-Es-03387	Tengo tremendo sueño	fear	0.309
2018-Es-06378	Estoy aburrida .. quiero hacer algo!!!	fear	0.173
2018-Es-02997	@LuchoCassinotti yo no pq me dijiste resentida y sabes q no lo soy	fear	0.396
2018-Es-06340	Ahorita quisiera que mi preocupación más grande fuese no poder ir festivales de música y esas cosas	fear	0.521
2018-Es-02138	@dejazmines Jajajajaja me paso lo mismo hoy (culpa de la tormenta obvio) 	fear	0.221
2018-Es-05198	Que peligro Renata locoooooooo	fear	0.583
2018-Es-06300	No fue broma :( lo preguntó en serio hahahahaha	fear	0.188
2018-Es-05361	SACARON AMERICAN HORROR STORY EN NETFLIX  LA FRUTA MADRE QUE ME PARIÓ CHICOS ESTOY LLORAMDO POR QUE LA VIDA ME HACE INFELIZ	fear	0.625
2018-Es-01057	"Escoger modos de no actuar fue siempre la atención y el escrúpulo de mi vida"	fear	0.396
2018-Es-04398	@elenasmirnov8 @IsraelXVL0L estas preocupado por el ?	fear	0.543
2018-Es-01271	LO AME ❤️❤️  Pero fue estilizado y capaz los matan 😱😱 	fear	0.396
2018-Es-00545	@bianca43721 Dos tweets seguidos. Vos debes tener ansiedad por el viaje me parece...	fear	0.559
2018-Es-06908	El que está asustado que chotee	fear	0.750
2018-Es-00944	Los hombres son tipo: uy no esa vieja es horrible, es muy perra, la más paila, nunca me metería con ella.  Y CON ESA SE METEN!	fear	0.333
2018-Es-03100	@JHarryStylinson *c va a amenazar gente para conseguir un dm larry* ahr 😂😂💜💜todo por ustedes 💜	fear	0.417
2018-Es-05557	@wilnowil Dependiendo de cuán ansiosa sea (que se las quita con la otra mano) o si hace mucho oficios en la casa.	fear	0.413
2018-Es-00952	@LulyCarreras_Ok No puedo darte otra sorpresa que no sea un mensaje/llamado porque no estoy. Perdón	fear	0.370
