ID	Tweet	Affect Dimension	Intensity Score
2018-Es-05423	@Miguel_layun Hay que cosas le sale lo gruñon a @JorgeGonzalezGo animo optimista te sigo apoyando	joy	0.771
2018-Es-04231	Ahora si dormiré tranquilo 😅	joy	0.522
2018-Es-00536	@Kait_ec Sé fuerte, no caigas en tentación 	joy	0.375
2018-Es-05555	Pero otro día 	joy	0.205
2018-Es-06530	Hoy les iba a contar una historia bien chistosa de algo que pasó en la defensoría, pero ya tengo sueño. Mejor mañana. :3	joy	0.500
2018-Es-00431	@Camila_Cabello @BrunoMars QUE LINDO TODO ESTOT MUY EMOCIONADA	joy	0.750
2018-Es-00844	#DeColombiaMeGusta la cultura, la alegría y las mujeres.	joy	0.708
2018-Es-01127	voy a volver a ver el episodio de bangtan en los billboard para llorar y revivir ese momento que me hace sentir orgullosa	joy	0.667
2018-Es-04579	Me gusta verte, jaja es como si cada pequeña parte de ti le diera más alegría a mi vida	joy	0.896
2018-Es-05110	@francellabrenes Literal no he ni visto el temario ni nada 	joy	0.271
2018-Es-01910	Una esperanza ya se Escucha #Nuvipa Es el tiempo para la prosperidad y alegría de nuestra Nación #SiHayFuturo	joy	0.652
2018-Es-02235	@martamendoza5 Has el baloto porque estas de una suerte bravaaaaa	joy	0.370
2018-Es-03162	No se para que puse  de contraseña la huella digital, si sigo usando el patrón 😅	joy	0.295
2018-Es-03616	Estoy orgulloso de quererte romper la cabeza contra la pared	joy	0.292
2018-Es-02716	@kinky_cuu Hoy fue mi día de suerte... 💖💖😍😍 🍑🍑 que buen perfil bb	joy	0.708
2018-Es-02388	@mariobautista_ Y sho que :v ntc te amo mi amor 11:14 orgullosa de decir q soy bautister	joy	0.854
2018-Es-01390	@fabianmendozav Y juega el @ABucaramanga .....	joy	0.500
2018-Es-04797	Le dije a mi papá que le ponga los punto a sus jugadores, con la mirada me dijo todo 	joy	0.250
2018-Es-00615	@sergioaruizh :) gracias, aunque en este avatar si estoy muy producida y esa sonrisa jamás volvió.	joy	0.458
2018-Es-06507	@Genesisca7 En serio? Es bien sencillo hacerlo 	joy	0.500
2018-Es-05881	Y empeze a estar orgulloso de mi desde el año pasado que aprendi a soltar todo aquello que ya no se quiera quedar.	joy	0.667
2018-Es-02423	@OnlyCes_ @Blazek___ la vieja de rafis es genial	joy	0.563
2018-Es-06639	Me gusta ver cuando te hago sonreír Aunque sea unos segundos 😍😍	joy	0.739
2018-Es-01941	Mañana empiezo la dieta porque quiero bajar un kilo, no menos, unos 5 	joy	0.348
2018-Es-06751	@JaviGaudino_ Nadie me reconoce por ese simple hecho 	joy	0.333
2018-Es-01024	Hoy fue un hermoso día! Que satisfacción 😊	joy	0.896
2018-Es-02912	Soy bien pinche Jodon  Apoco No 	joy	0.396
2018-Es-04773	@dianaguzmang27 Le fallé a la comunidad memera, explicame andale 	joy	0.261
2018-Es-00267	TE VALGO VERGA AMA porque no veo que me lleves por jeringas 	joy	0.167
2018-Es-00973	Yo agrego algunas personas a Facebook solo para jugar stop, me paso de boba 	joy	0.417
2018-Es-05087	No voy a decir que borralo porque cada vez que lo digo es peor 	joy	0.104
2018-Es-01775	@sigfrid Sería mucho más genial si Telltale dejará de hacer novelas y empezara hacer videojuegos!	joy	0.399
2018-Es-02660	@DanielEguiluz Jajaja nel, sino tu mamá me va a echar la culpa. A parte recuerda que yo estoy de vacaciones. 	joy	0.604
2018-Es-04253	Me hace falta un palito pa andar al cien 💯 	joy	0.521
2018-Es-03756	JAAAA Q GONZALO DE MIERDA 	joy	0.333
2018-Es-06620	@RamaPorchietti Feliz día amigo. Tkm	joy	0.717
2018-Es-06902	#2MillonesDeMorrillos @heyitspriscila El sabado te vere hermosa,aqui en tijuana,estoy mega emocionada!!😍♥️	joy	0.833
2018-Es-03206	Porque me gustan los judíos porque 	joy	0.413
2018-Es-03304	@o_solorzano78 @tinunjei @javi1dc Estaba siguiendo el debate y ví que al final te quedaste solo, igual que tu partido. Chao 	joy	0.223
2018-Es-05256	Juro que me estoy amando en este momento 😊	joy	0.826
2018-Es-00448	Días singulares, donde Papá ve "Los Pitufos", Mamá hace un flan a las 1am, mi hermano ve maratón de OITNB y yo hago hotcakes a las 3 am 	joy	0.545
2018-Es-05229	Nunca había celebrado el cumpleaños a un profesor con tanto entusiasmo y de corazón 🙊🙁🤔🤷🏻‍♀️	joy	0.771
2018-Es-01771	Una sonrisa puede ocultar mil emociones	joy	0.304
2018-Es-04679	@abi_quesada @AleVarela08 Tan violenta 	joy	0.370
2018-Es-02915	#DeColombiaMeGusta Las Mujeres, La humildad, La Alegría Colombiana, La Bandeja Paisa Mijoooo🇨🇴	joy	0.729
2018-Es-05022	No juzgues cada día por lo que cosechas, sino por lo que plantas. #Feliz inicio de semana.	joy	0.500
